Firms,NWP (£m) ,NWP (£m) .1,NWP (£m) .2,NWP (£m) .3,NWP (£m) .4,SCR (£m),SCR (£m).1,SCR (£m).2,SCR (£m).3,SCR (£m).4,EoF for SCR (£m),EoF for SCR (£m).1,EoF for SCR (£m).2,EoF for SCR (£m).3,EoF for SCR (£m).4,SCR coverage ratio,SCR coverage ratio.1,SCR coverage ratio.2,SCR coverage ratio.3,SCR coverage ratio.4,GWP (£m),GWP (£m).1,GWP (£m).2,GWP (£m).3,GWP (£m).4,Total assets (£m),Total assets (£m).1,Total assets (£m).2,Total assets (£m).3,Total assets (£m).4,Total liabilities (£m),Total liabilities (£m).1,Total liabilities (£m).2,Total liabilities (£m).3,Total liabilities (£m).4,Excess of assets over liabilities (£m) [= equity],Excess of assets over liabilities (£m) [= equity].1,Excess of assets over liabilities (£m) [= equity].2,Excess of assets over liabilities (£m) [= equity].3,Excess of assets over liabilities (£m) [= equity].4,Gross claims incurred (£m),Gross claims incurred (£m).1,Gross claims incurred (£m).2,Gross claims incurred (£m).3,Gross claims incurred (£m).4,"Gross BEL (inc. TPs as whole, pre-TMTP) (£m)","Gross BEL (inc. TPs as whole, pre-TMTP) (£m).1","Gross BEL (inc. TPs as whole, pre-TMTP) (£m).2","Gross BEL (inc. TPs as whole, pre-TMTP) (£m).3","Gross BEL (inc. TPs as whole, pre-TMTP) (£m).4","Net BEL (inc. TPs as a whole, pre-TMTP) (£m)","Net BEL (inc. TPs as a whole, pre-TMTP) (£m).1","Net BEL (inc. TPs as a whole, pre-TMTP) (£m).2","Net BEL (inc. TPs as a whole, pre-TMTP) (£m).3","Net BEL (inc. TPs as a whole, pre-TMTP) (£m).4",Pure net claims ratio,Pure net claims ratio.1,Pure net claims ratio.2,Pure net claims ratio.3,Pure net claims ratio.4,Net expense ratio,Net expense ratio.1,Net expense ratio.2,Net expense ratio.3,Net expense ratio.4,Net combined ratio,Net combined ratio.1,Net combined ratio.2,Net combined ratio.3,Net combined ratio.4,Pure gross claims ratio,Pure gross claims ratio.1,Pure gross claims ratio.2,Pure gross claims ratio.3,Pure gross claims ratio.4,Gross expense ratio,Gross expense ratio.1,Gross expense ratio.2,Gross expense ratio.3,Gross expense ratio.4,Gross combined ratio,Gross combined ratio.1,Gross combined ratio.2,Gross combined ratio.3,Gross combined ratio.4
,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE,2016YE,2017YE,2018YE,2019YE,2020YE
Firm 1,-17754.10048645742,0,0,0,0,2021.3218622469626,6.9400432308232975e-09,0,0,0,2416.559784992302,3.796177092257411,0,0,0,0.16251965516029768,55887003.05757315,0,0,0,46.76803042498611,0,0,0,0,63676.869102333185,9.566095697378056,0,0,0,40171.68315594512,0,0,0,0,1243.92499082561,4.398725104861754,0,0,0,0,0.005515162433567464,0,0,0,0,0.5889941649851628,0,0,0,0,9.894597449379987,0,0,0,0,17.184307980672962,0,0,0,0,41.013059968847735,0,0,0,0,71.2988409838318,0,0,0,0,17.534691168824644,0,0,0,0,77.25125440877,0,0,0,0,0.6750506932790861,0,0,0
Firm 2,9.244369313189408,0.09877074830183145,40.812426476455855,35.643070866752666,13.626145148362589,16.459756092235345,15.009073135423128,14.227214158173771,15.037066091884423,1.591638361303183,33.896967279720315,20.945314205790133,78.471171932501,47.73067478997116,28.78416158315556,5.648647051862941,3.683320997264215,10.23950738231817,5.792779750962441,3.1706821860317156,41.794374771369505,6.185296467199545,11.578801427359755,3.891800631616199,16.723242209535766,78.77652420656602,23.312487989588096,56.3423264846408,98.81710709948801,2.6657408369190754,7.970519420983104,12.796789206823165,11.332856746509592,6.730189731030726,16.173862006192543,8.75526056314321,48.42518894491121,0.07082348994019637,43.36837999431913,12.456319039280283,44.46786547748218,29.489599041384793,34.100482155607686,0,0,221.32767985853053,59.47469092733211,266.1184138397505,0,0,45.459689408915395,239.07267234663627,244.2678845643909,0,0,0.15986468932849743,0.22999885695372996,0.08837189194669656,0,0,0.8436718607451861,0.7384046941849708,1.370775850201961,0,0,1.2762961695141901,2.1760708684317653,0.6873162160528358,0,0,0.17834154906383928,0.034749821221748384,0.24349122970538056,0,0,0.3911788022958701,0.6859407248997416,1.4332837556328637,0,0,1.7509462837935605,1.3215230065919024,1.545324743992064,0,0
Firm 3,0,0.8061303680871948,36.62019900755589,86.6300177587044,54.74418007968672,486.8877958868649,495.786299030199,626.6122173590844,81.24257946848688,362.0929218655227,693.5226877917346,767.2522030199601,582.6023283780972,114.81972902063747,841.9326761020571,1.1354978298472036,1.7137627458645972,1.2227812097697366,1.3483116636336157,0.2452828567268876,0,68.1051502952764,138.08331610251574,148.586347148166,38.119418231428924,54.67835208929756,2321.1071291554454,1961.5457306465048,226.50591722411414,540.5946709504975,68.00084448501953,1592.310596623569,1005.3289268909017,593.6891008203366,374.7121550357958,210.91880779528236,100.77689119170718,87.58606677227816,922.4876587624241,412.4662069588938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 4,19677.45335334369,41072.81615551643,20885.50644457689,14719.67291443594,49204.46513615872,15975.652771305251,15367.8870992743,10797.123318932956,22788.35946768266,16090.310420323205,29997.67427915598,36644.40479670344,10096.9779332528,8536.23483057462,41636.299252158744,0.679157824749635,1.2248344476876403,2.699101788179343,2.0252063480681985,1.1958290318141402,43375.806960310176,23689.616366977127,68276.76399735965,41081.45344852722,37761.88332103191,64985.73442087881,51060.06985836068,138993.22853457718,105167.62352576847,37423.54326123887,48416.74335575748,30870.22654076019,68145.0690792296,92600.14010766316,92273.05396844224,24862.167211432417,7191.961835796562,12910.346382805948,12586.973993419428,24127.839035458303,14.34093849912894,71.06244714238561,87.9124713237458,42.280401637337754,3.668493703107413,-35.11276760031978,7.848684904000995,100.87627001745905,167.9595358151515,0.05759892561622694,-1.4583904534595367,12.273377933748678,56.12905227079385,146.187938739908,38.903549110622215,1.384419618521016,1.7979514599206041,3.4578912104532216,0.0038475501698797677,-5.765023558051932,0.33867829077103734,0.006629329531415659,0.08397676780599463,0.0916669529636263,-0.11838377798728057,0.6724811477198254,1.9869523098314188,1.8415283383643815,3.8172209112193274,-3.5487314600183835,0.060352456502126436,1.3076663318360673,2.521607414002212,0.27374570260898706,-9.382388735244048,0.23113940715745485,0.28547125355705194,0.05415039687690857,0.05184821153737166,-0.16288336913828425,1.047234208157352,0.4763843990933207,3.307378843478033,1.247403375411361,-2.303093034826068
Firm 5,128.8122075540615,10.407370936655743,79.57966325390584,79.42362322335269,61.72729473804931,32.742278982636215,43.95403924735113,31.622572008379212,30.119284531868587,91.51528935936774,149.65474813275208,202.85155056668427,167.40653424700514,176.72219873204017,142.78356894548756,1.4634994403047867,4.963117715739771,3.232800383391596,4.342353046406342,1.618599724318172,80.18391635939476,55.798335634099736,55.46511286236725,18.00065242257914,32.277534869186994,572.0669064799522,140.7179837167945,31.622727203882615,172.50910614616006,15.049929055868704,267.4589672411976,22.979291800146747,69.34324544601853,16.837469857609324,106.1795427142517,262.68352968665073,7.592281334187147,96.9451921246796,104.60976783810227,103.18097233994979,48.73860600477963,425.7488693439914,691.3796685086007,174.1012596512121,5.927624122258505,8.38670125842201,253.14941406571506,587.4612085651953,226.9774352912039,722.2394978665125,46.17668122431677,282.2703171565344,317.8770030954708,704.1299459691772,582.1919882048094,0.5976654783086923,2.222645201472409,0.7522154931229129,0.36137659581457804,0.9145954116007368,0.41761563226460585,0.15906355619694026,0.0405871286790751,0.16045514277328013,0.058344943129131153,0.5098712296259755,0.08759192156998218,2.403634704846472,1.2408763136613596,1.8696675468097796,0.13318164132890561,1.2266105318298328,1.5239883856838596,0.8519487139593112,0.7346374105448757,0.23612842626376865,0.23272486667668435,0.20450778125546212,0.1317385125109131,0.04870298975762643,0.2436114285756736,1.977732028688713,2.4952872245970488,0.36545511276677267,1.133645348089864
Firm 6,3091.3921175906476,3357.9340347512,3215.47296702192,53.2175894206748,5969.707515833444,5127.365838924387,5252.809366522446,5460.800869432097,4581.916567008434,3102.9889590388284,3816.6664729491445,1421.1612022864515,4927.791297677109,6793.543081792665,5628.46042581061,0.04204995822714911,0.6206488165725303,1.104387134715542,2.2338223655336296,2.4979637590642176,1966.0631189349251,1199.6570697644295,4061.617189379182,7464.344111727662,4209.115926295028,76031.72671430241,76887.53082489868,55185.11743774424,11332.290893025338,107547.78749404196,21524.885521049036,29794.425246362305,73169.14052696449,61908.33885756646,7915.435194480527,1730.0510652811818,2681.8824417565443,6397.690379418399,4848.816356810676,9295.371568896366,125.07679228830902,457.3197221458591,364.14875519155095,257.3324523424779,268.5278731760643,800.5318439578791,554.6120698158222,232.5502084841546,187.21374881431407,865.0140655578881,843.0400666374704,816.2661941651585,695.6275137869178,504.43594599437927,530.8859345526797,1.4764362633448778,0.1081223292597807,1.246686132672959,0.24733323924050907,0.02681791589035407,0.4135642116949417,0.3917988202704724,0.002661349290642914,0.2725070788523087,0.24950166933032364,0.2809693133498721,0.49660112840242177,0.7000453097771654,1.5232018813659176,0.38456364010608735,0.1462490031132432,0.12723671573839554,0.3878201261220037,0.17696158111843002,0.5211461456283779,0.1052666867442944,0.45117769763733345,0.23957640803536376,0.2613225558916243,0.06570955543233553,0.6503686226171146,0.9042705628368403,0.1471462936182151,0.3510338688665203,0.6878597389697763
Firm 7,3148.478355811857,3307.129485000403,713.8464201035655,18232.37650982477,6486.658898458129,3352.5004392082656,2155.2016221474432,4246.2390818406375,7597.76341699196,3105.9939560728862,7034.106090456902,4477.933483509581,6458.18840865072,13013.584840915653,7692.023873711289,1.6490175515826815,0.07928339194844859,1.9112325072003506,2.2965745545126657,0.1037128904567473,4169.537704096357,12689.066336204962,5814.003841907128,4224.697702034796,16183.565613808138,93321.45759434692,8523.87107788745,59601.56268658031,60086.6040825925,58820.101135613106,9079.892449278213,157830.72449621957,1656.2013605483546,5825.247115231625,178292.68653024948,9579.73927037392,3474.8107570144134,13507.939847045203,11434.723658397517,13165.525249547232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firm 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10735388701246394,-0.027761171537720484,-0.17763106321913938,0,0,0.68412750488666,1.1184963734668019,0.8616285263464175,1.2474815235322898,0.027732611353245718,1.1689494731047958,0.3140880783570367,0.9491476740327188,0.18383154120095938,0.26240689048332055,0.24659470019391988,-0.13383607414140358,-0.7666134997745658,0.018346392215783696,0,0.2254382597314984,0.4210185364848868,0.3350928997925915,0.9384328163368911,0,0.6405408071339612,1.10621893885633,-0.9621928833220523,0.19351942837209027,0,0.13333741084128373,-0.11796009178422631,-0.23636522003721666,0,0,0.519989902763687,0.28316490623095747,0.050565838594295885,0.46466735631357675,0,1.2717918773218742,0.12503484699733325,-0.013901196829431705,1.046206352054199,0
Firm 9,15.279748475312454,15.175538409074221,27.793658236944854,0.3543223192843499,6.464530757397718,6.949545996216788,23.009005785357722,25.178162050224344,16.348338970459448,16.499678590967953,34.96295366571185,46.8010820455176,7.828986691106148,22.723942704926802,33.47002767464453,3.486424711446342,2.4203360227248085,0.6048681087857004,3.9297994172278137,0.25721955741388536,33.268662901319274,24.4086936004898,31.896964788485416,24.276470100285096,7.422013445389735,23.027527013765834,100.7936506298171,3.2742542772644487,32.930936311164594,34.161110689688265,20.11650696590713,3.207393133491776,46.90002956548679,15.837435030308487,23.913826643464596,0.39724947678504097,15.613578203982316,0.7936629235687084,20.901734359247914,49.33002905362435,213.49653185027373,87.5931237535367,193.0638678857374,78.94937447706832,0,567.2169814826483,695.1437273384913,835.7799506262777,511.8590347159693,0,28.721342948964864,696.5788904749608,790.3521783861547,195.74228765305847,0,0.13251572475245782,0.08731033928831775,0.780486630899371,0.9452082922267184,0,0.5144916610054329,0.14496587009641107,0.23075198748474848,0.6962808583824915,0,1.5006271211481814,1.6248796606506009,1.1037107567337425,1.8564047747461434,0,0.6103009811702054,0.11400859706741508,0.9299581561291823,0.7975448811279359,0,0.703506547111474,0.4445643226129301,0.5949722859057089,0.04362752041336485,0,1.4131588402746262,0.3377631428630233,1.5301922694520316,0.9023984893522725,0
